Month,Day,Followers,Non-Followers,Total Reach,Home Imp,Profile Imp,Total Watch Time,Average Watch Time,Hashtags/Location Imp,Other Imp,Total Imp,Time,Post Type,Post Description,Hashtag/Non-Followers,Feed,,,
December,1,623,1147,1770,2189,,4:15,7,0,,3966.177083,19:09,Reel,Mosa's one year,0%,y,,,
December,4,179,25,204,179,54,,,0,1,438,15:40,Lifestyle,Pinterest,0%,y,,,
December,5,492,77,569,552,63,1:35,7,0,,1191.065972,11:29,Reel,Drink tutorial,0%,y,,,
December,9,204,47,251,194,73,,,16,2,536,14:17,Product,iPhone,34%,y,,,
December,10,310,57,367,307,69,,,0,26,769,15:18,Product,Pick your product,0%,y,,,
December,11,316,48,364,331,63,,,14,11,783,12:41,Interactive,Pick your scenario,29%,y,,,
December,13,236,32,268,370,267,0:24,3,,,908.0166667,11:00,Reel,Product,0%,y,,,
December,15,183,25,208,224,57,,,,2,491,15:34,Product,Candle scents,0%,y,,,
December,17,302,27,329,811,329,0:31,4,,,1473.021528,11:22,Product,Platters,0%,y,,,
December,18,226,22,248,277,48,,,3,6,582,13:30,Lifestyle,Pinterest,14%,y,,,
December,21,162,20,182,201,46,,,9,2,440,11:33,Interactive,Product focused,45%,y,,,
December,22,196,25,221,237,47,,,7,1,513,14:18,Lifestyle,Seasonal,28%,y,,,
December,26,563,73,636,597,46,,,51,7,1337,12:31,Product,Interactive,70%,y,,,
December,29,202,47,249,246,47,,,1,27,570,12:55,Lifestyle,Pinterest,2%,y,,,
December,30,192,95,287,209,56,,,59,6,617,12:25,Product,Lifestyle,62%,y,,,
November,2,340,55,395,416,82,,,19,1,913,12:46,Lifestyle,Pinterest,35%,y,,,
November,3,254,53,307,247,88,,,4,3,649,14:26,Product,Photoshoot,8%,y,,,
November,6,190,34,224,129,90,,,1,3,447,11:00,Infographic,Seasonal,3%,N,,,
November,9,245,45,290,243,79,,,8,2,622,18:00,Lifestyle,Pinterest,18%,y,,,
November,10,197,50,247,15,5,,,8,7,282,15:55,Graphic,Wishlist,16%,y,,,
November,12,287,77,364,226,113,,,10,9,722,13:10,Product,AI,13%,y,,,
November,16,201,188,389,200,107,,,85,9,790,14:45,Product,Product functions,45%,y,,,
